Timestamp,Motor controler temp,Motor temp,Battery Heatsink Temp
2016-09-21T21:01:25Z,30.8482962852,30.8425394705,30.9486695927
2016-09-21T21:01:26Z,30.7855089308,30.3897822591,30.6712150546
2016-09-21T21:01:27Z,30.488108205,30.3661196891,30.188953123
2016-09-21T21:01:28Z,30.4390275679,30.9824180543,30.6261421493
2016-09-21T21:01:29Z,30.3840130784,30.6935839966,30.1956175888
2016-09-21T21:01:30Z,30.4570157701,30.8583506155,30.7809158379
2016-09-21T21:01:31Z,30.6632011922,30.5967906435,30.9776228467
2016-09-21T21:01:32Z,30.9571412209,31.7386855951,31.3405381576
2016-09-21T21:01:33Z,31.8996145641,31.3731159813,31.0535435405
2016-09-21T21:01:34Z,31.3600745666,31.2798788875,31.7217315216
2016-09-21T21:01:35Z,31.2038288891,31.5711175939,31.3288148411
2016-09-21T21:01:36Z,31.1379971764,31.9849646173,31.2649001572
2016-09-21T21:01:37Z,31.4416033378,31.2211013531,30.7629383839
2016-09-21T21:01:38Z,30.4069685802,30.5730646843,30.4468804874
2016-09-21T21:01:39Z,30.0300998359,30.9665593136,30.294900651
2016-09-21T21:01:40Z,30.4157644128,30.9845748992,30.8843672843
2016-09-21T21:01:41Z,30.0109501995,30.2581626451,30.1848252685
2016-09-21T21:01:42Z,30.2141045965,30.1531529294,30.5348849007
2016-09-21T21:01:43Z,30.25903149,30.6240394716,30.7011360187
2016-09-21T21:01:44Z,30.3286524508,30.0398357254,30.7493661168
2016-09-21T21:01:45Z,30.0041016915,30.1437812404,30.7987408142
2016-09-21T21:01:46Z,30.4160756961,30.4055008725,30.2000546185
2016-09-21T21:01:47Z,31.8744459259,30.9738908228,30.4274674867
2016-09-21T21:01:48Z,30.7246296058,30.5320512218,31.4823300497
2016-09-21T21:01:49Z,30.4399146501,30.6791374323,30.4149548478
2016-09-21T21:01:50Z,30.2832487713,30.57344159,30.7901731618
2016-09-21T21:01:51Z,30.2210905591,30.1990478325,30.7187763308
2016-09-21T21:01:52Z,30.8279721576,30.9657336564,30.7425650206
2016-09-21T21:01:53Z,30.4495168141,30.363719491,30.3033819941
2016-09-21T21:01:54Z,30.9775065654,30.5986899848,30.0597337094
2016-09-21T21:01:55Z,30.2432679256,30.0827998541,30.5805072948
2016-09-21T21:01:56Z,30.2534352384,30.282071484,30.9467438339
2016-09-21T21:01:57Z,30.7721638534,30.7959036409,30.5217051775
2016-09-21T21:01:58Z,30.8342141003,30.8302399145,30.9249235693
2016-09-21T21:01:59Z,30.971071814,30.0599845108,30.5139753291
2016-09-21T21:02:00Z,30.2823180803,30.6330290761,30.781620379
2016-09-21T21:02:01Z,30.803282843,30.9332966012,30.5391234538
2016-09-21T21:02:02Z,30.2551689687,30.0408524734,30.5843548049
2016-09-21T21:02:03Z,30.9558019286,30.825435168,30.7812094863
2016-09-21T21:02:04Z,30.8144315266,30.0907177868,30.3400229572
2016-09-21T21:02:05Z,30.6093805164,30.4856552042,30.7734874544
2016-09-21T21:02:06Z,30.7632106429,30.5902789465,30.0548257135
2016-09-21T21:02:07Z,30.4720235823,30.3433988799,30.2475495997
2016-09-21T21:02:08Z,30.0001284463,30.2866860991,30.4682393106
2016-09-21T21:02:09Z,30.1460469097,30.260442627,30.0964028912
2016-09-21T21:02:10Z,30.1771572712,30.6921178354,30.4735867261
2016-09-21T21:02:11Z,30.1231854797,30.4349885133,30.6753036898
2016-09-21T21:02:12Z,30.9271669812,30.8467978608,30.5866463338
2016-09-21T21:02:13Z,30.1869715637,30.7992120324,30.4055488635
2016-09-21T21:02:14Z,30.6855359484,30.7768689697,30.2789640913
2016-09-21T21:02:15Z,30.5312152738,30.5328764599,30.2869225089
2016-09-21T21:02:16Z,30.1001564375,30.3080348916,30.5868414076
2016-09-21T21:02:17Z,30.5501555923,30.4845649608,30.9427309317
2016-09-21T21:02:18Z,30.345775724,30.7068893423,30.3429294734
2016-09-21T21:02:19Z,30.5629620736,30.2156040034,30.9940475692
2016-09-21T21:02:20Z,30.189475197,30.3068813137,30.2154513951
2016-09-21T21:02:21Z,30.5581689735,30.7368277212,30.5612018906
2016-09-21T21:02:22Z,30.5256182134,30.7585202833,30.7073324154
2016-09-21T21:02:23Z,30.7870052559,30.8471715789,30.021510707
2016-09-21T21:02:24Z,30.4475133036,30.5323046579,30.721956134
2016-09-21T21:02:25Z,30.1175636789,30.403113352,30.7620437062
2016-09-21T21:02:26Z,30.3958201665,30.6209642096,30.1069495321
2016-09-21T21:02:27Z,30.786832609,30.9269674003,30.7243520403
2016-09-21T21:02:28Z,30.7704184678,30.7915009255,30.1168673225
2016-09-21T21:02:29Z,30.7829800484,30.8372535235,30.1567949776
2016-09-21T21:02:30Z,30.4350022869,30.3082367766,30.4560383904
